name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Opel Vectra 1.8,2008.0,17900.0,PLN,225000.0,Benzyna,1796.0,Płock,https://www.otomoto.pl/oferta/opel-vectra-piekny-opel-vectra-gts-1-8i-140km-xenon-nawi-skora-ID6DBRrI.html#256f3e2281
Saab 9-3 Aero,1999.0,15500.0,PLN,259862.0,Benzyna,1985.0,Wrocław,https://www.otomoto.pl/oferta/saab-9-3-2-0t-205km-aero-serwisowany-szwajcaria-ID6DBRkC.html#256f3e2281
BMW Seria 3 325i,2007.0,23900.0,PLN,178000.0,Benzyna,2497.0,Łask,https://www.otomoto.pl/oferta/bmw-seria-3-325i-218km-alu-klimatr-pdc-szyber-grzane-fotele-org-lakier178tkmserwis-ID6DxSXQ.html#256f3e2281
Audi S6,2001.0,24000.0,PLN,337000.0,Benzyna+LPG,4172.0,Nowy Tomyśl,https://www.otomoto.pl/oferta/audi-s6-audi-s6-ID6DBRaK.html#256f3e2281
BMW Seria 5,2001.0,21000.0,PLN,307000.0,Benzyna+LPG,,Warszawa,https://www.otomoto.pl/oferta/bmw-seria-5-ID6DAIAE.html#256f3e2281
Audi A6 2.0,2006.0,19900.0,PLN,147142.0,Benzyna,1984.0,Laski,https://www.otomoto.pl/oferta/audi-a6-zadbane-audi-a6-pierwszy-wlasciciel-w-kraju-ID6DuSdL.html#256f3e2281
Toyota Avensis 2.0,2009.0,24500.0,PLN,329000.0,Benzyna+LPG,1987.0,Ochojno,https://www.otomoto.pl/oferta/toyota-avensis-t27-avensis-prestige-navi-ms-pakiet-chromelife-ID6DBQSO.html#256f3e2281
BMW Seria 5,2004.0,16600.0,PLN,274321.0,Benzyna,2171.0,Czarnków,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-520i-benzyna-navi-pol-skory-ID6DzzU7.html#256f3e2281
Audi A6 2.4,2004.0,21500.0,PLN,230000.0,Benzyna,2393.0,Rzeszów,https://www.otomoto.pl/oferta/audi-a6-2-4-v6-sedan-navi-manual-mega-stan-z-niemiec-ID6DBQMD.html#256f3e2281
Škoda Octavia 1.8,2010.0,19600.0,PLN,215550.0,Benzyna,1798.0,Parczew,https://www.otomoto.pl/oferta/skoda-octavia-ii-2009-10-lift-elegance-1-8b-kupiona-w-salonie-215550km-s-bdb-ID6DvxdL.html#256f3e2281
Volvo S80 2.0,2008.0,23900.0,PLN,232154.0,Benzyna,1999.0,Radom,https://www.otomoto.pl/oferta/volvo-s80-ID6Dn7r4.html#256f3e2281
Chevrolet Cruze,2010.0,23900.0,PLN,125761.0,Benzyna,1598.0,Warszawa,https://www.otomoto.pl/oferta/chevrolet-cruze-1-6-i-113km-czujniki-park-isofix-alufelgi-multifunkcja-ID6DtPLW.html#256f3e2281
Peugeot 301 1.6,2013.0,23700.0,PLN,95000.0,Benzyna,1587.0,Wrocław,https://www.otomoto.pl/oferta/peugeot-301-salon-polska-1-6-benzyna-95tys-przebiegu-ideal-czujniki-ID6Dxaf8.html#256f3e2281
Opel Vectra 3.2,2004.0,16500.0,PLN,151790.0,Benzyna,3175.0,Warszawa,https://www.otomoto.pl/oferta/opel-vectra-polski-salon-full-opcja-automat-xenon-szyberdach-nowy-rozrzad-3-2-gts-ID6DAAF2.html#256f3e2281
