name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Mercedes-Benz Klasa E,2000.0,15000.0,PLN,388000.0,Diesel,3222.0,Tomaszów Mazowiecki,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-e320-cdi-ID6DBBn6.html#b00c7476dd
Mercedes-Benz Klasa C 200,2008.0,26900.0,PLN,171600.0,Benzyna,1796.0,Poznań,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-c200-kompresor-automat-zarejestrowany-184ps-ID6DBBo8.html#b00c7476dd
Toyota Avensis 2.0,2009.0,23500.0,PLN,217777.0,Diesel,1998.0,Landek,https://www.otomoto.pl/oferta/toyota-avensis-salon-polska-serwisowany-w-aso-do-konca-bezwypadkowy-prywatne-ID6DAMWM.html#b00c7476dd
Audi A6,2006.0,25900.0,PLN,238000.0,Benzyna,2393.0,Ostrów Mazowiecka,https://www.otomoto.pl/oferta/audi-a6-z-niemiec-2-4benz-177km-navi-xenon-szyberdach-klimatronik-oryginal-ID6DBBdp.html#b00c7476dd
Mercedes-Benz Klasa E 200,1999.0,18200.0,PLN,280115.0,Benzyna,1998.0,Wrocław,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-benz-e-klasa-w210-2-0-benzyna-136-km-mocno-doinwestowana-ID6DAMJi.html#b00c7476dd
BMW Seria 3 320d,2008.0,29800.0,PLN,266300.0,Diesel,1995.0,Tułowice,https://www.otomoto.pl/oferta/bmw-seria-3-2-0-177-ps-xdrive-4x4-m-pakiet-bezkolizyjna-z-niemiec-navi-skora-ID6DCpN8.html#b00c7476dd
Volkswagen Passat,2005.0,21900.0,PLN,140000.0,Benzyna,1984.0,Lidzbark Warmiński,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-benzyna-140-ooo-przebiegu-skora-navi-high-line-niemiecki-ID6DxG5r.html#b00c7476dd
Honda Accord 2.0,2007.0,26990.0,PLN,188268.0,Benzyna,1998.0,Czarna,https://www.otomoto.pl/oferta/honda-accord-2-0-sport-lift-czarny-sedan-okazja-ID6DBAkQ.html#b00c7476dd
BMW Seria 3,2005.0,20900.0,PLN,319460.0,Diesel,1995.0,Gózd,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-2-0-163km-black-line-xenon-czarna-ID6DBAqi.html#b00c7476dd
Mercedes-Benz Klasa E,2003.0,21900.0,PLN,317000.0,Diesel,2685.0,Gniezno,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-e270-cdi-177km-avantgarde-pisemna-gwarancja-stan-idealny-ID6DCpLV.html#b00c7476dd
